dataset_versions,dataset_sha256,backend,model_id,model_revision,git_commit,unique_tasks,warmup_attempts,repetitions,measurement_attempts,successful_measurements,failed_measurements,success_rate,scored_measurements,mean_score,median_latency_ms,p95_latency_ms,median_ttft_ms,p95_ttft_ms,median_output_tokens_per_second,peak_gpu_memory_mib,result_sha256,manifest_sha256
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",d18e6dce941cfac1fee0d637449229d786d7d6b601c063c0af2266b7e2d7a5a8,qwen3-vl,Qwen/Qwen3-VL-2B-Instruct,89644892e4d85e24eaac8bacfd4f463576704203,aeb445086001215dfe6f0c7fe04e6a7872f447c7,102,1,3,306,306,0,1.000000,306,0.784314,212.855000,579.957800,120.547550,178.504700,12.694509,4180.455566,a6574423770718fe20f7bd308d09fb8246ed9d0f71a70bd5b15138ff9c90908c,7b73efc0dececc8d03f998040844ffd122284dd24745907035eb33c8c825cc78
"synthetic-docs-v1, synthetic-robustness-v1, synthetic-v1.1, synthetic-video-v1",d18e6dce941cfac1fee0d637449229d786d7d6b601c063c0af2266b7e2d7a5a8,smolvlm2,HuggingFaceTB/SmolVLM2-500M-Video-Instruct,7b375e1b73b11138ff12fe22c8f2822d8fe03467,aeb445086001215dfe6f0c7fe04e6a7872f447c7,102,1,3,306,306,0,1.000000,306,0.689542,471.530850,684.492400,260.048700,281.400900,10.071183,1265.279297,b195dc43e7d0f719c02f819c4ffab8017dd905b74cd7981d4e39bf8527fdb027,cc2c3b4e66b2814475d39c292ce3aec874f0940dac0f5df978777bf6aae9bca9
